Date,Price,Open,High,Low,Vol.,Change %
2-Sep-20,5.29,5.2,5.29,5.2,260.36K,1.34%
1-Sep-20,5.22,5.2,5.22,5.2,59.60K,-0.57%
31-Aug-20,5.25,5.22,5.25,5.19,464.52K,0.00%
30-Aug-20,5.25,5.3,5.32,5.25,465.94K,-3.85%
27-Aug-20,5.46,5.5,5.56,5.44,834.10K,-0.55%
26-Aug-20,5.49,5.4,5.49,5.35,379.59K,2.62%
25-Aug-20,5.35,5.17,5.45,5.17,1.64M,3.88%
24-Aug-20,5.15,5.11,5.17,5.1,221.04K,0.98%
20-Aug-20,5.1,5.1,5.14,5.1,340.83K,0.00%
19-Aug-20,5.1,5.11,5.11,5.1,1.32M,-0.58%
18-Aug-20,5.13,5.14,5.15,5.13,80.41K,-0.39%
17-Aug-20,5.15,5.12,5.15,5.12,10.90K,-0.19%
16-Aug-20,5.16,5.16,5.16,5.16,189.35K,0.39%
13-Aug-20,5.14,5.11,5.15,5.11,310.11K,0.59%
12-Aug-20,5.11,5.1,5.11,5.1,16.20K,0.39%
11-Aug-20,5.09,5.09,5.1,5.09,429.41K,0.20%
10-Aug-20,5.08,5.09,5.1,5.08,674.55K,0.00%
9-Aug-20,5.08,5.12,5.12,5.08,39.47K,-0.39%
6-Aug-20,5.1,5.1,5.1,5.05,260.14K,0.00%
5-Aug-20,5.1,5.08,5.1,5.08,43.80K,0.39%
4-Aug-20,5.08,5.1,5.1,5.08,293.61K,0.00%
3-Aug-20,5.08,5.08,5.08,5.05,106.68K,0.00%
29-Jul-20,5.08,5.08,5.08,5,84.70K,-1.36%
28-Jul-20,5.15,5.18,5.21,5.15,906.04K,0.00%
27-Jul-20,5.15,5.13,5.18,5.13,829.25K,-0.58%
26-Jul-20,5.18,5.19,5.19,5.13,125.38K,0.97%
23-Jul-20,5.13,5.11,5.2,5.11,63.35K,0.00%
22-Jul-20,5.13,5.2,5.2,5.13,611.26K,-0.77%
21-Jul-20,5.17,5.21,5.22,5.17,113.82K,-0.96%
20-Jul-20,5.22,5.2,5.23,5.13,159.56K,0.58%
19-Jul-20,5.19,5.11,5.2,5.11,142.83K,0.78%
16-Jul-20,5.15,5.11,5.15,5.11,12.19K,0.19%
15-Jul-20,5.14,5.12,5.14,5.12,18.06K,0.59%
14-Jul-20,5.11,5.1,5.14,5.1,360.07K,-0.78%
13-Jul-20,5.15,5.2,5.2,5.15,148.58K,0.00%
12-Jul-20,5.15,5.2,5.2,5.15,177.83K,-1.34%
9-Jul-20,5.22,5.2,5.3,5.2,778.25K,0.38%
8-Jul-20,5.2,5.24,5.28,5.2,781.78K,0.00%
7-Jul-20,5.2,5.13,5.21,5.13,332.50K,1.56%
6-Jul-20,5.12,5.04,5.12,5.04,751.01K,1.19%
5-Jul-20,5.06,5.07,5.07,5.03,92.14K,-0.78%
2-Jul-20,5.1,5.07,5.1,5.07,190.41K,0.00%
1-Jul-20,5.1,5.09,5.1,5.08,854.11K,0.00%
30-Jun-20,5.1,5.1,5.1,5.04,61.77K,0.39%
29-Jun-20,5.08,5.13,5.13,5.08,1.67M,0.40%
28-Jun-20,5.06,5.04,5.12,5.04,452.72K,0.80%
25-Jun-20,5.02,5.1,5.1,5.02,345.84K,-1.57%
24-Jun-20,5.1,5.14,5.14,5.03,592.82K,-0.39%
23-Jun-20,5.12,5.02,5.12,5.01,757.86K,2.20%
22-Jun-20,5.01,5.02,5.05,5.01,1.68M,-0.79%
21-Jun-20,5.05,5,5.08,5,89.53K,0.80%
18-Jun-20,5.01,5.01,5.04,5,1.03M,0.00%
17-Jun-20,5.01,5.05,5.06,5.01,1.22M,-0.79%
16-Jun-20,5.05,5.09,5.09,5.05,388.50K,0.00%
15-Jun-20,5.05,5.1,5.1,5.04,497.11K,-0.98%
14-Jun-20,5.1,5.08,5.12,5.08,86.37K,0.00%
11-Jun-20,5.1,5.1,5.2,5.1,278.87K,-0.20%
10-Jun-20,5.11,5.18,5.18,5.1,312.69K,0.20%
9-Jun-20,5.1,5.11,5.18,5.09,474.16K,0.00%
8-Jun-20,5.1,5.24,5.24,5.1,1.78M,-2.67%
7-Jun-20,5.24,5.15,5.24,5.13,2.15M,2.34%
4-Jun-20,5.12,5.12,5.14,5.11,507.93K,0.39%
3-Jun-20,5.1,5.08,5.13,5.08,378.73K,-0.39%
2-Jun-20,5.12,5.14,5.16,5.12,949.90K,0.39%
1-Jun-20,5.1,5.08,5.12,5.08,2.28M,0.20%
31-May-20,5.09,5.14,5.14,5.07,612.86K,-1.17%
28-May-20,5.15,5.09,5.15,5.07,171.93K,-0.96%
27-May-20,5.2,5.2,5.2,5.08,752.84K,1.96%
21-May-20,5.1,5.07,5.12,5.07,316.13K,0.00%
20-May-20,5.1,5.1,5.1,5.1,1.75M,0.00%
19-May-20,5.1,5.06,5.12,5.06,657.29K,0.00%
18-May-20,5.1,5.1,5.1,5.07,594.08K,0.00%
17-May-20,5.1,5.1,5.1,5.1,1.28M,0.00%
14-May-20,5.1,5.02,5.1,5,2.22M,-0.58%
13-May-20,5.13,5.13,5.13,5.13,30.71K,0.00%
12-May-20,5.13,5.14,5.15,5.02,565.99K,-0.39%
11-May-20,5.15,5.14,5.15,5.14,826.09K,3.00%
10-May-20,5,5.2,5.2,4.97,344.73K,-1.96%
7-May-20,5.1,5.18,5.19,5.08,412.92K,-1.54%
6-May-20,5.18,5.2,5.25,5.1,1.16M,-0.38%
5-May-20,5.2,5.25,5.25,5.2,96.79K,-0.95%
4-May-20,5.25,5.16,5.3,5.16,1.91M,0.00%
3-May-20,5.25,5.26,5.26,5.21,178.86K,-0.76%
30-Apr-20,5.29,5.26,5.31,5.26,725.22K,0.57%
29-Apr-20,5.26,5.35,5.35,5.11,1.48M,-1.68%
28-Apr-20,5.35,5.35,5.4,5.35,208.40K,0.00%
27-Apr-20,5.35,5.35,5.42,5.35,446.08K,0.00%
26-Apr-20,5.35,5.39,5.39,5.3,1.31M,-1.47%
23-Apr-20,5.43,5.44,5.48,5.4,285.21K,-3.21%
22-Apr-20,5.61,5.51,5.63,5.35,1.64M,1.81%
21-Apr-20,5.51,5.5,5.65,5.46,78.27K,-1.61%
20-Apr-20,5.6,5.79,5.79,5.6,282.56K,-2.61%
19-Apr-20,5.75,5.65,5.75,5.64,354.80K,4.36%
16-Apr-20,5.51,5.76,5.76,5.51,1.85M,-5.00%
15-Apr-20,5.8,5.9,5.9,5.76,542.73K,-0.85%
14-Apr-20,5.85,5.8,5.9,5.75,1.53M,2.27%
13-Apr-20,5.72,5.5,5.72,5.5,612.85K,3.62%
12-Apr-20,5.52,5.35,5.59,5.35,172.95K,3.18%
9-Apr-20,5.35,5.35,5.35,5.29,99.65K,0.56%
8-Apr-20,5.32,5.29,5.34,5.29,25.38K,-0.37%
7-Apr-20,5.34,5.25,5.35,5.15,86.00K,-0.19%
6-Apr-20,5.35,5.33,5.35,5.33,129.86K,5.94%
5-Apr-20,5.05,5.6,5.6,5.05,67.00K,-3.81%
2-Apr-20,5.25,5.5,5.5,5.25,871.10K,-4.55%
1-Apr-20,5.5,5.18,5.5,5.1,293.68K,5.77%
31-Mar-20,5.2,5.07,5.2,5.07,124.00K,0.78%
29-Mar-20,5.16,5,5.2,5,182.02K,0.19%
26-Mar-20,5.15,5,5.25,5,1.01M,3.00%
25-Mar-20,5,4.85,5.01,4.85,1.09M,3.95%
24-Mar-20,4.81,4.72,4.85,4.72,144.42K,0.21%
23-Mar-20,4.8,4.95,4.95,4.72,1.33M,-3.03%
22-Mar-20,4.95,4.9,4.99,4.9,253.44K,-1.00%
19-Mar-20,5,4.62,5,4.61,221.09K,4.17%
18-Mar-20,4.8,4.89,4.95,4.8,872.44K,6.67%
17-Mar-20,4.5,4.51,5,4.33,883.73K,-6.25%
16-Mar-20,4.8,4.9,4.9,4.77,852.77K,-3.03%
15-Mar-20,4.95,4.62,5,4.62,453.09K,-2.37%
12-Mar-20,5.07,5.2,5.4,5,367.73K,-6.11%
11-Mar-20,5.4,5.6,5.6,5.4,113.36K,-1.28%
10-Mar-20,5.47,5.37,5.56,5.36,1.25M,4.19%
9-Mar-20,5.25,5.2,5.69,5.2,1.45M,-7.89%
8-Mar-20,5.7,6,6,5.62,313.83K,-4.20%
5-Mar-20,5.95,6.09,6.12,5.95,80.92K,-0.83%
4-Mar-20,6,6,6,6,20.73K,0.00%
3-Mar-20,6,6,6.12,6,83.53K,-1.96%
2-Mar-20,6.12,6.12,6.12,6,134.50K,3.73%
1-Mar-20,5.9,5.93,5.95,5.63,468.64K,-4.84%
27-Feb-20,6.2,6.19,6.2,6.15,157.85K,-0.48%
26-Feb-20,6.23,6.23,6.25,6.18,494.85K,0.00%
25-Feb-20,6.23,6.22,6.24,6.21,561.85K,0.00%
24-Feb-20,6.23,6.2,6.26,6.2,684.49K,0.00%
23-Feb-20,6.23,6.23,6.28,6.23,235.17K,0.00%
20-Feb-20,6.23,6.17,6.24,6.17,299.38K,1.80%
19-Feb-20,6.12,6.09,6.13,6.09,23.77K,0.00%
18-Feb-20,6.12,6.08,6.14,6.08,129.22K,-1.13%
17-Feb-20,6.19,6.3,6.35,6.18,223.61K,-1.59%
16-Feb-20,6.29,6.11,6.34,6.11,290.54K,0.64%
13-Feb-20,6.25,6.14,6.25,6.1,464.45K,1.79%
12-Feb-20,6.14,6.13,6.14,6.03,711.88K,-1.76%
11-Feb-20,6.25,6.2,6.25,6.16,69.11K,1.63%
10-Feb-20,6.15,6.02,6.15,6.02,77.30K,0.82%
9-Feb-20,6.1,6.05,6.34,6.05,194.01K,-1.61%
6-Feb-20,6.2,6.08,6.2,6,2.05M,-0.48%
5-Feb-20,6.23,6.25,6.28,6,1.65M,-0.16%
4-Feb-20,6.24,5.8,6.34,5.8,4.17M,9.47%
3-Feb-20,5.7,5.76,5.76,5.7,1.36M,-1.04%
2-Feb-20,5.76,5.73,5.8,5.73,61.55K,-0.17%
30-Jan-20,5.77,5.77,5.77,5.77,3.69K,-0.17%
29-Jan-20,5.78,5.82,5.82,5.77,83.08K,-1.03%
28-Jan-20,5.84,5.76,5.84,5.67,506.12K,0.69%
27-Jan-20,5.8,5.76,5.85,5.76,91.46K,0.69%
26-Jan-20,5.76,5.75,5.76,5.75,4.12K,-0.69%
23-Jan-20,5.8,5.75,5.8,5.73,223.06K,0.52%
22-Jan-20,5.77,5.85,5.85,5.71,65.71K,-1.37%
21-Jan-20,5.85,5.73,5.85,5.73,221.75K,0.00%
20-Jan-20,5.85,5.66,5.86,5.66,1.20M,1.92%
19-Jan-20,5.74,5.64,5.74,5.63,931.46K,2.14%
16-Jan-20,5.62,5.54,5.63,5.54,877.74K,0.72%
15-Jan-20,5.58,5.52,5.6,5.52,231.63K,0.36%
14-Jan-20,5.56,5.51,5.56,5.51,955.36K,0.54%
13-Jan-20,5.53,5.51,5.53,5.51,1.08M,0.00%
12-Jan-20,5.53,5.5,5.53,5.5,8.75K,-0.18%
9-Jan-20,5.54,5.55,5.55,5.51,1.43M,-0.18%
8-Jan-20,5.55,5.55,5.58,5.52,805.29K,-0.89%
7-Jan-20,5.6,5.5,5.6,5.42,374.01K,1.82%
6-Jan-20,5.5,5.5,5.5,5.5,30.33K,0.00%
5-Jan-20,5.5,5.52,5.55,5.5,293.63K,-0.72%
2-Jan-20,5.54,5.54,5.54,5.54,10.00K,0.36%
31-Dec-19,5.52,5.54,5.54,5.52,10.56K,-0.36%
30-Dec-19,5.54,5.54,5.55,5.54,14.22K,0.00%
29-Dec-19,5.54,5.54,5.54,5.54,2.25K,0.18%
26-Dec-19,5.53,5.52,5.6,5.52,28.05K,0.18%
25-Dec-19,5.52,5.52,5.52,5.52,7.58K,-1.43%
24-Dec-19,5.6,5.52,5.6,5.52,264.41K,0.00%
23-Dec-19,5.6,5.59,5.61,5.51,1.32M,-0.71%
22-Dec-19,5.64,5.53,5.64,5.5,189.79K,0.53%
19-Dec-19,5.61,5.64,5.64,5.56,390.27K,-0.18%
18-Dec-19,5.62,5.6,5.62,5.56,189.37K,0.36%
17-Dec-19,5.6,5.5,5.6,5.5,111.77K,2.56%
16-Dec-19,5.46,5.55,5.6,5.46,13.01K,-2.50%
15-Dec-19,5.6,5.6,5.6,5.6,112.14K,1.82%
12-Dec-19,5.5,5.45,5.5,5.45,174.48K,0.92%
11-Dec-19,5.45,5.42,5.45,5.42,8.49K,0.55%
10-Dec-19,5.42,5.4,5.42,5.4,117.24K,0.18%
9-Dec-19,5.41,5.47,5.47,5.41,136.69K,-1.64%
8-Dec-19,5.5,5.46,5.55,5.46,648.08K,0.55%
5-Dec-19,5.47,5.46,5.48,5.46,635.60K,0.00%
4-Dec-19,5.47,5.5,5.5,5.47,201.00K,-0.55%
28-Nov-19,5.5,5.47,5.5,5.47,75.64K,0.18%
27-Nov-19,5.49,5.47,5.5,5.47,148.13K,0.37%
26-Nov-19,5.47,5.52,5.52,5.46,371.81K,-0.18%
25-Nov-19,5.48,5.48,5.48,5.48,0.56K,0.00%
24-Nov-19,5.48,5.48,5.48,5.48,0.56K,0.00%
21-Nov-19,5.48,5.47,5.48,5.46,132.66K,-0.54%
20-Nov-19,5.51,5.58,5.58,5.51,44.12K,0.18%
19-Nov-19,5.5,5.43,5.55,5.43,294.21K,0.36%
18-Nov-19,5.48,5.43,5.48,5.43,10.56K,0.55%
17-Nov-19,5.45,5.45,5.45,5.42,31.93K,0.00%
14-Nov-19,5.45,5.41,5.45,5.4,106.74K,0.74%
13-Nov-19,5.41,5.4,5.41,5.4,17.98K,0.19%
12-Nov-19,5.4,5.38,5.42,5.37,153.68K,0.00%
11-Nov-19,5.4,5.4,5.4,5.38,264.98K,0.00%
10-Nov-19,5.4,5.41,5.41,5.4,116.40K,-0.37%
7-Nov-19,5.42,5.4,5.43,5.4,72.82K,0.37%
6-Nov-19,5.4,5.4,5.4,5.4,10.61K,0.00%
5-Nov-19,5.4,5.4,5.42,5.4,480.56K,0.00%
4-Nov-19,5.4,5.55,5.55,5.4,246.23K,-3.57%
3-Nov-19,5.6,5.48,5.6,5.48,7.72K,0.00%
31-Oct-19,5.6,5.53,5.6,5.51,113.35K,1.63%
30-Oct-19,5.51,5.59,5.6,5.25,978.40K,-1.96%
29-Oct-19,5.62,5.61,5.63,5.61,46.73K,-0.53%
28-Oct-19,5.65,5.65,5.65,5.65,548.32K,0.00%
27-Oct-19,5.65,5.7,5.7,5.63,25.72K,0.18%
24-Oct-19,5.64,5.7,5.7,5.63,11.81K,-1.05%
23-Oct-19,5.7,5.7,5.7,5.63,15.12K,0.00%
22-Oct-19,5.7,5.66,5.7,5.57,407.38K,0.53%
21-Oct-19,5.67,5.55,5.67,5.55,261.31K,1.25%
20-Oct-19,5.6,5.58,5.6,5.58,123.02K,-1.58%
17-Oct-19,5.69,5.58,5.69,5.58,319.84K,0.71%
16-Oct-19,5.65,5.56,5.65,5.56,323.00K,0.00%
15-Oct-19,5.65,5.65,5.65,5.55,207.46K,1.62%
14-Oct-19,5.56,5.52,5.57,5.52,13.08K,0.18%
13-Oct-19,5.55,5.55,5.65,5.55,18.81K,-1.77%
10-Oct-19,5.65,5.52,5.65,5.52,55.11K,1.80%
9-Oct-19,5.55,5.55,5.6,5.55,91.95K,-0.18%
8-Oct-19,5.56,5.53,5.63,5.53,18.39K,-0.71%
7-Oct-19,5.6,5.63,5.63,5.51,219.63K,0.00%
6-Oct-19,5.6,5.63,5.63,5.59,245.31K,0.18%
3-Oct-19,5.59,5.59,5.63,5.59,567.50K,0.18%
2-Oct-19,5.58,5.5,5.69,5.5,17.92K,-0.36%
1-Oct-19,5.6,5.62,5.62,5.6,130.82K,-0.18%
30-Sep-19,5.61,5.6,5.7,5.6,9.03K,0.18%
29-Sep-19,5.6,5.59,5.6,5.59,24.22K,0.18%
26-Sep-19,5.59,5.58,5.6,5.58,90.81K,0.18%
25-Sep-19,5.58,5.64,5.64,5.5,101.69K,-1.06%
24-Sep-19,5.64,5.62,5.64,5.62,7.77K,0.00%
23-Sep-19,5.64,5.61,5.64,5.61,2.07K,-1.91%
22-Sep-19,5.75,5.74,5.75,5.74,121.90K,0.17%
19-Sep-19,5.74,5.69,5.74,5.69,261.44K,1.06%
18-Sep-19,5.68,5.62,5.68,5.62,504.02K,1.07%
17-Sep-19,5.62,5.61,5.65,5.61,225.95K,-0.35%
16-Sep-19,5.64,5.61,5.65,5.61,153.10K,0.53%
15-Sep-19,5.61,5.65,5.66,5.6,90.47K,-1.41%
12-Sep-19,5.69,5.65,5.69,5.6,163.09K,0.71%
11-Sep-19,5.65,5.65,5.65,5.65,31.69K,-0.35%
10-Sep-19,5.67,5.75,5.75,5.6,301.81K,-1.22%
9-Sep-19,5.74,5.73,5.76,5.71,65.14K,0.17%
8-Sep-19,5.73,5.73,5.73,5.71,21.20K,0.00%
5-Sep-19,5.73,5.67,5.75,5.67,431.58K,1.24%
4-Sep-19,5.66,5.67,5.71,5.66,118.87K,-0.35%
3-Sep-19,5.68,5.7,5.75,5.68,583.64K,-1.22%
2-Sep-19,5.75,5.5,5.8,5.5,2.38M,6.48%